model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert,False,False,all,False,0.985,0.013392857142857142,0.05172413793103448,0.021276595744680847
bert,False,False,all,False,0.99,0.013953488372093023,0.05172413793103448,0.021978021978021976
bert,False,False,all,False,0.995,0.013953488372093023,0.034482758620689655,0.019867549668874173
bert,False,False,all,True,0.985,0.019417475728155338,0.05172413793103448,0.02823529411764706
bert,False,False,all,True,0.99,0.023166023166023165,0.06206896551724138,0.033739456419868794
bert,False,False,all,True,0.995,0.023166023166023165,0.05172413793103448,0.032
bert,False,False,['V'],False,0.985,0.020642201834862386,0.04433497536945813,0.028169014084507043
bert,False,False,['V'],False,0.99,0.01958650707290533,0.03879310344827586,0.026030368763557483
bert,False,False,['V'],False,0.995,0.01958650707290533,0.034482758620689655,0.02498265093684941
bert,False,False,['V'],True,0.985,0.019169329073482427,0.03103448275862069,0.023699802501645818
bert,False,False,['V'],True,0.99,0.018967334035827187,0.02821316614420063,0.022684310018903593
bert,False,False,['V'],True,0.995,0.018967334035827187,0.02586206896551724,0.02188449848024316
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.015530629853321829,0.023872679045092837,0.018818609513852586
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.013452914798206279,0.022167487684729065,0.01674418604651163
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.013452914798206279,0.020689655172413793,0.01630434782608696
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.012743125419181758,0.020474137931034482,0.015708970649028525
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.012368583797155226,0.02028397565922921,0.01536688436419516
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.012368583797155226,0.019157088122605363,0.01503194287861706
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.01092896174863388,0.018148820326678767,0.013642564802182811
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.009881422924901186,0.017241379310344827,0.01256281407035176
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.009881422924901186,0.016420361247947456,0.012338062924120914
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.01094391244870041,0.018808777429467086,0.013836840588065724
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.011955593509820665,0.020989505247376312,0.015233949945593036
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.011955593509820665,0.020114942528735632,0.014997321906802356
bert,False,False,"['V', 'ARG0']",False,0.985,0.011168727562824093,0.019310344827586208,0.014152135456153653
bert,False,False,"['V', 'ARG0']",False,0.99,0.010678871090770405,0.01856763925729443,0.013559322033898305
bert,False,False,"['V', 'ARG0']",False,0.995,0.010678871090770405,0.017879948914431672,0.013371537726838587
bert,False,False,"['V', 'ARG0']",True,0.985,0.010736764161421697,0.017857142857142856,0.013410404624277455
bert,False,False,"['V', 'ARG0']",True,0.99,0.01088139281828074,0.0178359096313912,0.013516557783284524
bert,False,False,"['V', 'ARG0']",True,0.995,0.01088139281828074,0.017241379310344827,0.013342228152101402
bert,False,False,"['V', 'ARG1']",False,0.985,0.010186757215619695,0.01668520578420467,0.01265022137887413
bert,False,False,"['V', 'ARG1']",False,0.99,0.009699321047526674,0.016163793103448277,0.01212366134572641
bert,False,False,"['V', 'ARG1']",False,0.995,0.009699321047526674,0.01567398119122257,0.011983223487118036
bert,False,False,"['V', 'ARG1']",True,0.985,0.009322560596643879,0.015212981744421906,0.011560693641618498
bert,False,False,"['V', 'ARG1']",True,0.99,0.009036144578313253,0.014778325123152709,0.011214953271028038
bert,False,False,"['V', 'ARG1']",True,0.995,0.009036144578313253,0.014367816091954023,0.011094674556213019
bert,True,False,all,False,0.985,0.009036144578313253,0.013979496738117428,0.010976948408342482
bert,True,False,all,False,0.99,0.009036144578313253,0.013611615245009074,0.010861694424330196
bert,True,False,all,False,0.995,0.009036144578313253,0.013262599469496022,0.010748835542816195
bert,True,False,all,True,0.985,0.009036144578313253,0.01293103448275862,0.010638297872340425
bert,True,False,all,True,0.99,0.009036144578313253,0.012615643397813289,0.010530010530010531
bert,True,False,all,True,0.995,0.009036144578313253,0.012315270935960592,0.010423905489923557
bert,True,False,['V'],False,0.985,0.009036144578313253,0.012028869286287089,0.010319917440660473
bert,True,False,['V'],False,0.99,0.009036144578313253,0.011755485893416929,0.010217983651226158
bert,True,False,['V'],False,0.995,0.009036144578313253,0.011494252873563218,0.01011804384485666
bert,True,False,['V'],True,0.985,0.009036144578313253,0.011244377811094454,0.01002004008016032
bert,True,False,['V'],True,0.99,0.009036144578313253,0.011005135730007337,0.00992391663910023
