model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert,False,False,all,False,0.985,0.24553571428571427,0.9482758620689655,0.3900709219858156
bert,False,False,all,False,0.99,0.24651162790697675,0.9137931034482759,0.38827838827838834
bert,False,False,all,False,0.995,0.24651162790697675,0.6091954022988506,0.3509933774834437
bert,False,False,all,True,0.985,0.24110032362459546,0.6422413793103449,0.35058823529411764
bert,False,False,all,True,0.99,0.24324324324324326,0.6517241379310345,0.3542642924086223
bert,False,False,all,True,0.995,0.24324324324324326,0.5431034482758621,0.3360000000000001
bert,False,False,['V'],False,0.985,0.25229357798165136,0.541871921182266,0.3442879499217527
bert,False,False,['V'],False,0.99,0.2513601741022851,0.4978448275862069,0.33405639913232105
bert,False,False,['V'],False,0.995,0.2513601741022851,0.4425287356321839,0.3206106870229008
bert,False,False,['V'],True,0.985,0.25026624068157616,0.4051724137931034,0.3094140882159316
bert,False,False,['V'],True,0.99,0.2518440463645943,0.37460815047021945,0.3011972274732199
bert,False,False,['V'],True,0.995,0.2518440463645943,0.34339080459770116,0.2905775075987842
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.24762726488352027,0.3806366047745358,0.30005227391531625
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.99,0.2406576980568012,0.39655172413793105,0.29953488372093023
bert,False,False,"['V', 'ARG0', 'ARG1']",False,0.995,0.2406576980568012,0.3701149425287356,0.2916666666666667
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.985,0.2340710932260228,0.3760775862068966,0.2885489871847871
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.99,0.22758194186765615,0.37322515212981744,0.28275067230119094
bert,False,False,"['V', 'ARG0', 'ARG1']",True,0.995,0.22758194186765615,0.3524904214559387,0.27658774896655397
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.2284153005464481,0.3793103448275862,0.28512960436562074
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.22776679841897232,0.39741379310344827,0.289572864321608
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.22776679841897232,0.3784893267651888,0.28439235040098704
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.22663018695850434,0.3894984326018809,0.28653790717786104
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.22587532023911186,0.39655172413793105,0.2878128400435256
bert,False,False,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.22587532023911186,0.3800287356321839,0.2833422603106588
bert,False,False,"['V', 'ARG0']",False,0.985,0.22736338252891902,0.3931034482758621,0.2880970432145565
bert,False,False,"['V', 'ARG0']",False,0.99,0.22616323417238748,0.393236074270557,0.2871670702179176
bert,False,False,"['V', 'ARG0']",False,0.995,0.22616323417238748,0.3786717752234994,0.2831900668576886
bert,False,False,"['V', 'ARG0']",True,0.985,0.2239911144020733,0.3725369458128079,0.2797687861271676
bert,False,False,"['V', 'ARG0']",True,0.99,0.22343126586869785,0.36623067776456597,0.2775399864834422
bert,False,False,"['V', 'ARG0']",True,0.995,0.22343126586869785,0.35402298850574715,0.27396041805648214
bert,False,False,"['V', 'ARG1']",False,0.985,0.22410865874363328,0.3670745272525028,0.2783048703352309
bert,False,False,"['V', 'ARG1']",False,0.99,0.22340769479469771,0.3723060344827586,0.27924833299656493
bert,False,False,"['V', 'ARG1']",False,0.995,0.22340769479469771,0.3610240334378265,0.2760135809866187
bert,False,False,"['V', 'ARG1']",True,0.985,0.22125543816034804,0.36105476673427994,0.274373795761079
bert,False,False,"['V', 'ARG1']",True,0.99,0.21987951807228914,0.35960591133004927,0.27289719626168224
bert,False,False,"['V', 'ARG1']",True,0.995,0.21987951807228914,0.3496168582375479,0.2699704142011834
bert,True,False,all,False,0.985,0.21987951807228914,0.3401677539608574,0.26710574460300035
bert,True,False,all,False,0.99,0.21987951807228914,0.3312159709618875,0.2643012309920348
bert,True,False,all,False,0.995,0.21987951807228914,0.32272325375773653,0.2615549982085274
bert,True,False,all,True,0.985,0.21987951807228914,0.3146551724137931,0.2588652482269503
bert,True,False,all,True,0.99,0.21987951807228914,0.3069806560134567,0.25623025623025625
bert,True,False,all,True,0.995,0.21987951807228914,0.2996715927750411,0.25364836692147325
bert,True,False,['V'],False,0.985,0.21987951807228914,0.29270248596631915,0.2511179910560715
bert,True,False,['V'],False,0.99,0.21987951807228914,0.28605015673981193,0.24863760217983652
bert,True,False,['V'],False,0.995,0.21987951807228914,0.2796934865900383,0.2462057335581787
bert,True,False,['V'],True,0.985,0.21987951807228914,0.27361319340329837,0.24382097528390115
bert,True,False,['V'],True,0.99,0.21987951807228914,0.2677916360968452,0.24148197155143897
